match,score,result,model_prob,fair_odds,market_score_odds,edge,value,home_lambda,away_lambda
Mexico vs South Africa,1-0,H,0.16733050003772468,5.976196806765951,5.5,-0.07968224979251426,False,1.79,0.58
Mexico vs South Africa,2-0,H,0.14976079753376356,6.677314867894918,4.75,-0.28863621171462306,False,1.79,0.58
Mexico vs South Africa,1-1,D,0.09705169002188031,10.30378759787233,7.25,-0.2963752473413678,False,1.79,0.58
Mexico vs South Africa,0-0,D,0.09348072627805847,10.697392284111054,9.5,-0.11193310035844461,False,1.79,0.58
Mexico vs South Africa,3-0,H,0.08935727586181227,11.191030504851815,8.0,-0.2851417931055017,False,1.79,0.58
Mexico vs South Africa,2-1,H,0.08686126256958286,11.512611841198135,6.0,-0.47883242458250286,False,1.79,0.58
Mexico vs South Africa,0-1,A,0.05421882124127391,18.44377980019147,,,False,1.79,0.58
Mexico vs South Africa,3-1,H,0.05182721999985111,19.294880180778996,,,False,1.79,0.58
Mexico vs South Africa,4-0,H,0.039987380948161,25.007889396316905,,,False,1.79,0.58
Mexico vs South Africa,1-2,A,0.02814499010634529,35.530302061628724,,,False,1.79,0.58
Mexico vs South Africa,2-2,D,0.02518976614517903,39.69866152137288,,,False,1.79,0.58
Mexico vs South Africa,4-1,H,0.02319268094993338,43.11705068330501,,,False,1.79,0.58
Mexico vs South Africa,0-2,A,0.015723458159969433,63.59924069031542,,,False,1.79,0.58
Mexico vs South Africa,3-2,H,0.015029893799956824,66.53406958889309,,,False,1.79,0.58
Mexico vs South Africa,5-0,H,0.014315482379441634,69.85443965451651,,,False,1.79,0.58
Mexico vs South Africa,5-1,H,0.008302979780076148,120.43868905951122,,,False,1.79,0.58
Mexico vs South Africa,4-2,H,0.00672587747548068,148.67948511484485,,,False,1.79,0.58
Mexico vs South Africa,1-3,A,0.005441364753893421,183.77742445670032,,,False,1.79,0.58
Mexico vs South Africa,2-3,A,0.0048700214547346115,205.33790442089423,,,False,1.79,0.58
Mexico vs South Africa,6-0,H,0.004270785576533422,234.14895973580948,,,False,1.79,0.58
Mexico vs South Africa,0-3,A,0.00303986857759409,328.9615897774936,,,False,1.79,0.58
Mexico vs South Africa,3-3,D,0.0029057794679916518,344.1417392528954,,,False,1.79,0.58
Mexico vs South Africa,6-1,H,0.0024770556343893845,403.705102992775,,,False,1.79,0.58
Mexico vs South Africa,5-2,H,0.0024078641362220827,415.30582434314215,,,False,1.79,0.58
Mexico vs South Africa,4-3,H,0.0013003363119262646,769.0318195595424,,,False,1.79,0.58
Mexico vs South Africa,1-4,A,0.0007889978893145461,1267.430513494485,,,False,1.79,0.58
Mexico vs South Africa,6-2,H,0.0007183461339729214,1392.0865620440518,,,False,1.79,0.58
Mexico vs South Africa,2-4,A,0.0007061531109365186,1416.123478764788,,,False,1.79,0.58
Mexico vs South Africa,5-3,H,0.00046552039966960256,2148.133574188667,,,False,1.79,0.58
Mexico vs South Africa,0-4,A,0.00044078094375114304,2268.700619155128,,,False,1.79,0.58
Mexico vs South Africa,3-4,A,0.0004213380228587895,2373.391305192382,,,False,1.79,0.58
Mexico vs South Africa,4-4,D,0.00018854876522930836,5303.6677211002925,,,False,1.79,0.58
Mexico vs South Africa,6-3,H,0.0001388802525680981,7200.447734710614,,,False,1.79,0.58
Mexico vs South Africa,1-5,A,9.152375516048732e-05,10926.12511633177,,,False,1.79,0.58
Mexico vs South Africa,2-5,A,8.191376086863615e-05,12207.961023834381,,,False,1.79,0.58
Mexico vs South Africa,5-4,H,6.750045795209237e-05,14814.714304749426,,,False,1.79,0.58
Mexico vs South Africa,0-5,A,5.113058947513258e-05,19557.76395823387,,,False,1.79,0.58
Mexico vs South Africa,3-5,A,4.887521065161957e-05,20460.269872348123,,,False,1.79,0.58
Mexico vs South Africa,4-5,A,2.1871656766599765e-05,45721.273457761155,,,False,1.79,0.58
Mexico vs South Africa,6-4,H,2.0137636622374226e-05,49658.26023938355,,,False,1.79,0.58
Mexico vs South Africa,1-6,A,8.847296332180442e-06,113028.88051377692,,,False,1.79,0.58
Mexico vs South Africa,2-6,A,7.918330217301495e-06,126289.25197070048,,,False,1.79,0.58
Mexico vs South Africa,5-5,D,7.830053122442713e-06,127713.05435128818,,,False,1.79,0.58
Mexico vs South Africa,0-6,A,4.942623649262817e-06,202321.6961196607,,,False,1.79,0.58
Mexico vs South Africa,3-6,A,4.7246036963232256e-06,211657.9641967047,,,False,1.79,0.58
Mexico vs South Africa,6-5,H,2.3359658481954096e-06,428088.4503395134,,,False,1.79,0.58
Mexico vs South Africa,4-6,A,2.114260154104644e-06,472978.69094235677,,,False,1.79,0.58
Mexico vs South Africa,5-6,A,7.569051351694624e-07,1321169.5277719465,,,False,1.79,0.58
Mexico vs South Africa,6-6,D,2.2581003199222299e-07,4428501.210408758,,,False,1.79,0.58
South Korea vs Czechia,1-0,H,0.13527558678294788,7.3923168531844405,7.0,-0.05307089251936481,False,1.03,1.0
South Korea vs Czechia,1-1,D,0.13527558678294788,7.3923168531844405,4.7,-0.364204742120145,False,1.03,1.0
South Korea vs Czechia,0-0,D,0.1313355211484931,7.614086358779974,8.0,0.050684169187944716,False,1.03,1.0
South Korea vs Czechia,0-1,A,0.1313355211484931,7.614086358779974,7.25,-0.047817471673425094,False,1.03,1.0
South Korea vs Czechia,2-1,H,0.06966692719321815,14.354013307154254,8.0,-0.4426645824542548,False,1.03,1.0
South Korea vs Czechia,2-0,H,0.06966692719321815,14.354013307154254,,,False,1.03,1.0
South Korea vs Czechia,1-2,A,0.06763779339147394,14.784633706368881,8.5,-0.4250787561724715,False,1.03,1.0
South Korea vs Czechia,0-2,A,0.06566776057424654,15.228172717559948,,,False,1.03,1.0
South Korea vs Czechia,2-2,D,0.03483346359660908,28.70802661430851,,,False,1.03,1.0
South Korea vs Czechia,3-0,H,0.023918978336338232,41.807805748992976,,,False,1.03,1.0
South Korea vs Czechia,3-1,H,0.023918978336338232,41.807805748992976,,,False,1.03,1.0
South Korea vs Czechia,1-3,A,0.022545931130491314,44.353901119106645,,,False,1.03,1.0
South Korea vs Czechia,0-3,A,0.02188925352474885,45.68451815267984,,,False,1.03,1.0
South Korea vs Czechia,3-2,H,0.011959489168169116,83.61561149798595,,,False,1.03,1.0
South Korea vs Czechia,2-3,A,0.011611154532203027,86.12407984292552,,,False,1.03,1.0
South Korea vs Czechia,4-0,H,0.006159136921607095,162.36041067570088,,,False,1.03,1.0
South Korea vs Czechia,4-1,H,0.006159136921607095,162.36041067570088,,,False,1.03,1.0
South Korea vs Czechia,1-4,A,0.0056364827826228285,177.41560447642658,,,False,1.03,1.0
South Korea vs Czechia,0-4,A,0.005472313381187212,182.73807261071937,,,False,1.03,1.0
South Korea vs Czechia,3-3,D,0.003986496389389705,250.84683449395786,,,False,1.03,1.0
South Korea vs Czechia,4-2,H,0.0030795684608035476,324.72082135140175,,,False,1.03,1.0
South Korea vs Czechia,2-4,A,0.0029027886330507567,344.4963193717021,,,False,1.03,1.0
South Korea vs Czechia,5-1,H,0.0012687822058510617,788.1573333771887,,,False,1.03,1.0
South Korea vs Czechia,5-0,H,0.0012687822058510617,788.1573333771887,,,False,1.03,1.0
South Korea vs Czechia,1-5,A,0.0011272965565245657,887.0780223821329,,,False,1.03,1.0
South Korea vs Czechia,0-5,A,0.0010944626762374424,913.6903630535969,,,False,1.03,1.0
South Korea vs Czechia,4-3,H,0.0010265228202678493,974.1624640542051,,,False,1.03,1.0
South Korea vs Czechia,3-4,A,0.0009966240973474263,1003.3873379758314,,,False,1.03,1.0
South Korea vs Czechia,5-2,H,0.0006343911029255308,1576.3146667543774,,,False,1.03,1.0
South Korea vs Czechia,2-5,A,0.0005805577266101514,1722.4815968585103,,,False,1.03,1.0
South Korea vs Czechia,4-4,D,0.0002566307050669623,3896.6498562168204,,,False,1.03,1.0
South Korea vs Czechia,6-1,H,0.00021780761200443228,4591.207767245759,,,False,1.03,1.0
South Korea vs Czechia,6-0,H,0.00021780761200443228,4591.207767245759,,,False,1.03,1.0
South Korea vs Czechia,5-3,H,0.00021146370097517697,4728.944000263131,,,False,1.03,1.0
South Korea vs Czechia,3-5,A,0.00019932481946948526,5016.936689879158,,,False,1.03,1.0
South Korea vs Czechia,1-6,A,0.00018788275942076092,5322.468134292798,,,False,1.03,1.0
South Korea vs Czechia,0-6,A,0.00018241044603957372,5482.142178321582,,,False,1.03,1.0
South Korea vs Czechia,6-2,H,0.00010890380600221614,9182.415534491518,,,False,1.03,1.0
South Korea vs Czechia,2-6,A,9.675962110169189e-05,10334.889581151063,,,False,1.03,1.0
South Korea vs Czechia,5-4,H,5.286592524379424e-05,18915.776001052523,,,False,1.03,1.0
South Korea vs Czechia,4-5,A,5.132614101339247e-05,19483.249281084103,,,False,1.03,1.0
South Korea vs Czechia,6-3,H,3.630126866740538e-05,27547.246603474552,,,False,1.03,1.0
South Korea vs Czechia,3-6,A,3.322080324491421e-05,30101.620139274943,,,False,1.03,1.0
South Korea vs Czechia,5-5,D,1.0573185048758848e-05,94578.88000526263,,,False,1.03,1.0
South Korea vs Czechia,6-4,H,9.075317166851344e-06,110188.98641389821,,,False,1.03,1.0
South Korea vs Czechia,4-6,A,8.55435683556541e-06,116899.49568650461,,,False,1.03,1.0
South Korea vs Czechia,6-5,H,1.815063433370269e-06,550944.932069491,,,False,1.03,1.0
South Korea vs Czechia,5-6,A,1.7621975081264746e-06,567473.2800315758,,,False,1.03,1.0
South Korea vs Czechia,6-6,D,3.025105722283781e-07,3305669.592416947,,,False,1.03,1.0
Canada vs Bosnia,1-0,H,0.15330024630612407,6.523146727390821,5.7,-0.1261885960550928,False,1.44,0.8
Canada vs Bosnia,1-1,D,0.12264019704489924,8.153933409238526,6.2,-0.2396307783216246,False,1.44,0.8
Canada vs Bosnia,2-0,H,0.11037617734040932,9.05992601026503,6.5,-0.2825548472873395,False,1.44,0.8
Canada vs Bosnia,0-0,D,0.10645850437925282,9.393331287442782,9.5,0.011355791602901899,False,1.44,0.8
Canada vs Bosnia,2-1,H,0.08830094187232745,11.324907512831288,7.0,-0.3818934068937079,False,1.44,0.8
Canada vs Bosnia,0-1,A,0.08516680350340225,11.741664109303478,10.5,-0.10574856321427628,False,1.44,0.8
Canada vs Bosnia,3-0,H,0.052980565123396474,18.874845854718814,,,False,1.44,0.8
Canada vs Bosnia,1-2,A,0.0490560788179597,20.384833523096315,,,False,1.44,0.8
Canada vs Bosnia,3-1,H,0.042384452098717176,23.593557318398517,,,False,1.44,0.8
Canada vs Bosnia,2-2,D,0.03532037674893099,28.312268782078213,,,False,1.44,0.8
Canada vs Bosnia,0-2,A,0.034066721401360904,29.354160273258696,,,False,1.44,0.8
Canada vs Bosnia,4-0,H,0.01907300344442273,52.43012737421893,,,False,1.44,0.8
Canada vs Bosnia,3-2,H,0.016953780839486874,58.98389329599628,,,False,1.44,0.8
Canada vs Bosnia,4-1,H,0.015258402755538183,65.53765921777367,,,False,1.44,0.8
Canada vs Bosnia,1-3,A,0.013081621018122592,76.44312571161116,,,False,1.44,0.8
Canada vs Bosnia,2-3,A,0.009418767133048265,106.17100793279329,,,False,1.44,0.8
Canada vs Bosnia,0-3,A,0.00908445904036291,110.07810102472007,,,False,1.44,0.8
Canada vs Bosnia,4-2,H,0.006103361102215274,163.84414804443412,,,False,1.44,0.8
Canada vs Bosnia,5-0,H,0.005493024991993746,182.0490533827046,,,False,1.44,0.8
Canada vs Bosnia,3-3,D,0.004521008223863167,221.18959985998603,,,False,1.44,0.8
Canada vs Bosnia,5-1,H,0.004394419993594996,227.56131672838077,,,False,1.44,0.8
Canada vs Bosnia,1-4,A,0.0026163242036245176,382.21562855805587,,,False,1.44,0.8
Canada vs Bosnia,2-4,A,0.0018837534266096525,530.8550396639665,,,False,1.44,0.8
Canada vs Bosnia,0-4,A,0.0018168918080725817,550.3905051236005,,,False,1.44,0.8
Canada vs Bosnia,5-2,H,0.0017577679974379989,568.9032918209518,,,False,1.44,0.8
Canada vs Bosnia,4-3,H,0.0016275629605907401,614.4155551666278,,,False,1.44,0.8
Canada vs Bosnia,6-0,H,0.001318325998078499,758.5377224279359,,,False,1.44,0.8
Canada vs Bosnia,6-1,H,0.0010546607984627991,948.1721530349199,,,False,1.44,0.8
Canada vs Bosnia,3-4,A,0.0009042016447726333,1105.9479992999302,,,False,1.44,0.8
Canada vs Bosnia,5-3,H,0.00046873813265013313,2133.387344328569,,,False,1.44,0.8
Canada vs Bosnia,6-2,H,0.0004218643193851197,2370.4303825872994,,,False,1.44,0.8
Canada vs Bosnia,1-5,A,0.00041861187257992286,2388.847678487849,,,False,1.44,0.8
Canada vs Bosnia,4-4,D,0.00032551259211814794,3072.07777583314,,,False,1.44,0.8
Canada vs Bosnia,2-5,A,0.00030140054825754446,3317.8439978997903,,,False,1.44,0.8
Canada vs Bosnia,0-5,A,0.0002907026892916131,3439.940657022503,,,False,1.44,0.8
Canada vs Bosnia,3-5,A,0.00014467226316362133,6912.174995624564,,,False,1.44,0.8
Canada vs Bosnia,6-3,H,0.00011249715183603194,8889.11393470237,,,False,1.44,0.8
Canada vs Bosnia,5-4,H,9.374762653002661e-05,10666.936721642845,,,False,1.44,0.8
Canada vs Bosnia,1-6,A,5.5814916343989726e-05,17916.357588658866,,,False,1.44,0.8
Canada vs Bosnia,4-5,A,5.208201473890368e-05,19200.48609895712,,,False,1.44,0.8
Canada vs Bosnia,2-6,A,4.01867397676726e-05,24883.829984248423,,,False,1.44,0.8
Canada vs Bosnia,0-6,A,3.876035857221509e-05,25799.554927668763,,,False,1.44,0.8
Canada vs Bosnia,6-4,H,2.2499430367206383e-05,44445.56967351187,,,False,1.44,0.8
Canada vs Bosnia,3-6,A,1.928963508848285e-05,51841.312467184216,,,False,1.44,0.8
Canada vs Bosnia,5-5,D,1.4999620244804259e-05,66668.35451026779,,,False,1.44,0.8
Canada vs Bosnia,4-6,A,6.944268631853825e-06,144003.64574217837,,,False,1.44,0.8
Canada vs Bosnia,6-5,H,3.599908858753022e-06,277784.81045944913,,,False,1.44,0.8
Canada vs Bosnia,5-6,A,1.9999493659739015e-06,500012.65882700833,,,False,1.44,0.8
Canada vs Bosnia,6-6,D,4.799878478337364e-07,2083386.078445868,,,False,1.44,0.8
USA vs Paraguay,1-0,H,0.14958426378915077,6.685195184766014,6.0,-0.10249441726509534,False,1.35,0.85
USA vs Paraguay,1-1,D,0.12714662422077816,7.864935511489429,5.45,-0.307050897996759,False,1.35,0.85
USA vs Paraguay,0-0,D,0.1108031583623339,9.02501349943412,8.0,-0.11357473310132882,False,1.35,0.85
USA vs Paraguay,2-0,H,0.10096937805767676,9.903992866320023,8.0,-0.192244975538586,False,1.35,0.85
USA vs Paraguay,0-1,A,0.0941826846079838,10.61766294051073,8.75,-0.17590150968014173,False,1.35,0.85
USA vs Paraguay,2-1,H,0.08582397134902525,11.651756313317673,7.25,-0.377776207719567,False,1.35,0.85
USA vs Paraguay,1-2,A,0.05403731529383071,18.505730615269243,,,False,1.35,0.85
USA vs Paraguay,3-0,H,0.04543622012595455,22.00887303626671,,,False,1.35,0.85
USA vs Paraguay,0-2,A,0.04002764095839311,24.982736330613488,,,False,1.35,0.85
USA vs Paraguay,3-1,H,0.03862078710706137,25.8927918073726,,,False,1.35,0.85
USA vs Paraguay,2-2,D,0.036475187823335725,27.415897207806292,,,False,1.35,0.85
USA vs Paraguay,3-2,H,0.01641383452050108,60.92421601734731,,,False,1.35,0.85
USA vs Paraguay,4-0,H,0.015334724292509663,65.21147566301246,,,False,1.35,0.85
USA vs Paraguay,1-3,A,0.015310572666585366,65.3143433480091,,,False,1.35,0.85
USA vs Paraguay,4-1,H,0.013034515648633213,76.71938313295585,,,False,1.35,0.85
USA vs Paraguay,0-3,A,0.011341164938211381,88.1743635198123,,,False,1.35,0.85
USA vs Paraguay,2-3,A,0.010334636549945122,96.76199014519868,,,False,1.35,0.85
USA vs Paraguay,4-2,H,0.005539669150669115,180.51619560695497,,,False,1.35,0.85
USA vs Paraguay,3-3,D,0.004650586447475305,215.02664476710817,,,False,1.35,0.85
USA vs Paraguay,5-0,H,0.004140375558977609,241.52398393708322,,,False,1.35,0.85
USA vs Paraguay,5-1,H,0.003519319225130968,284.145863455392,,,False,1.35,0.85
USA vs Paraguay,1-4,A,0.003253496691649391,307.3616157553369,,,False,1.35,0.85
USA vs Paraguay,0-4,A,0.002409997549369919,414.9381812697049,,,False,1.35,0.85
USA vs Paraguay,2-4,A,0.0021961102668633385,455.3505418597585,,,False,1.35,0.85
USA vs Paraguay,4-3,H,0.0015695729260229157,637.1159844951352,,,False,1.35,0.85
USA vs Paraguay,5-2,H,0.001495710670680661,668.5785022479813,,,False,1.35,0.85
USA vs Paraguay,3-4,A,0.0009882496200885025,1011.8900930216853,,,False,1.35,0.85
USA vs Paraguay,6-0,H,0.000931584500769962,1073.4399286092587,,,False,1.35,0.85
USA vs Paraguay,6-1,H,0.0007918468256544677,1262.8705042461868,,,False,1.35,0.85
USA vs Paraguay,1-5,A,0.0005530944375803964,1808.0095044431587,,,False,1.35,0.85
USA vs Paraguay,5-3,H,0.0004237846900261873,2359.6888314634634,,,False,1.35,0.85
USA vs Paraguay,0-5,A,0.00040969958339288616,2440.8128309982644,,,False,1.35,0.85
USA vs Paraguay,2-5,A,0.0003733387453667675,2678.53259917505,,,False,1.35,0.85
USA vs Paraguay,6-2,H,0.0003365349009031487,2971.460009991028,,,False,1.35,0.85
USA vs Paraguay,4-4,D,0.0003335342467798697,2998.1928682124003,,,False,1.35,0.85
USA vs Paraguay,3-5,A,0.0001680024354150454,5952.294664833444,,,False,1.35,0.85
USA vs Paraguay,6-3,H,9.535155525589213e-05,10487.505917615395,,,False,1.35,0.85
USA vs Paraguay,5-4,H,9.005424663056481e-05,11104.418030416298,,,False,1.35,0.85
USA vs Paraguay,1-6,A,7.83550453238895e-05,12762.42003136347,,,False,1.35,0.85
USA vs Paraguay,0-6,A,5.804077431399221e-05,17229.26704234069,,,False,1.35,0.85
USA vs Paraguay,4-5,A,5.6700821952577835e-05,17636.428636543533,,,False,1.35,0.85
USA vs Paraguay,2-6,A,5.288965559362541e-05,18907.288935353292,,,False,1.35,0.85
USA vs Paraguay,3-6,A,2.3800345017131437e-05,42016.19763411842,,,False,1.35,0.85
USA vs Paraguay,6-4,H,2.0262205491877082e-05,49352.96902407244,,,False,1.35,0.85
USA vs Paraguay,5-5,D,1.5309221927196016e-05,65320.106061272345,,,False,1.35,0.85
USA vs Paraguay,4-6,A,8.03261644328186e-06,124492.43743442494,,,False,1.35,0.85
USA vs Paraguay,6-5,H,3.444574933619103e-06,290311.5824945438,,,False,1.35,0.85
USA vs Paraguay,5-6,A,2.1688064396861027e-06,461083.1016089812,,,False,1.35,0.85
USA vs Paraguay,6-6,D,4.87981448929373e-07,2049258.2293732502,,,False,1.35,0.85
